,k,method,mean_runtime,std_runtime,mean_ssim,std_ssim,mean_psnr,std_psnr,image
23,10,Randomized SVD,0.022266149520874023,0.004457944020160267,0.5898249840334806,1.5128244906122003e-07,22.082487697125025,5.934536680958692e-10,Camera
24,13,Exact SVD,0.09490251541137695,0.0013643542967122137,0.6109132406146742,0.0,23.01969973652576,0.0,Camera
25,13,Randomized SVD,0.024236488342285156,0.004050555944981852,0.6109125986979902,5.884012288998384e-07,23.019699690219536,3.068179042019272e-08,Camera
26,15,Exact SVD,0.0956918716430664,0.0036007042007504646,0.6225202434751457,0.0,23.516176389993554,0.0,Camera
27,15,Randomized SVD,0.028617382049560547,0.01272570784781523,0.6225201985727371,9.434821326913713e-07,23.516176021201225,1.9807340215310494e-07,Camera
28,1,Exact SVD,0.03455243110656738,0.00046040934214008786,0.3720551062821192,0.0,16.370856085211216,0.0,Coins
29,1,Randomized SVD,0.012851572036743164,0.006419474282032825,0.37205510628212307,5.267010828519802e-15,16.370856085211216,1.5888218580782547e-15,Coins
30,3,Exact SVD,0.03859133720397949,0.008865768128933627,0.43302350342028806,0.0,18.511476509006727,0.0,Coins
31,3,Randomized SVD,0.014679718017578124,0.004463462804791719,0.4330235022734783,7.3362464600953145e-09,18.511476509005796,1.1481840768452931e-12,Coins
32,5,Exact SVD,0.03920130729675293,0.009739855433894443,0.4812498676324852,0.0,19.618267110253868,0.0,Coins
33,5,Randomized SVD,0.015372800827026366,0.00447737268410505,0.4812498739749437,3.785451120170465e-08,19.618267110190438,4.710842220418867e-11,Coins
34,8,Exact SVD,0.038499879837036136,0.008949571709005837,0.5268819187098909,0.0,20.985789822060767,0.0,Coins
35,8,Randomized SVD,0.015593671798706054,0.004643180707802686,0.5268818856710149,1.0851215068920961e-07,20.985789821636956,6.349285432930745e-10,Coins
36,10,Exact SVD,0.038701200485229494,0.00868286879050726,0.5517729949593716,0.0,21.549965556392088,0.0,Coins
37,10,Randomized SVD,0.016323661804199217,0.004461494616258012,0.5517725621663295,2.6386213637631243e-06,21.549965305244957,1.1173998298419238e-07,Coins
38,13,Exact SVD,0.03913698196411133,0.00957412501475408,0.5820083447892976,0.0,22.352326761294247,0.0,Coins
39,13,Randomized SVD,0.017005252838134765,0.004717121634955861,0.5820086075120215,5.293159108996573e-07,22.352326407085574,1.3570258743104614e-07,Coins
40,15,Exact SVD,0.038312244415283206,0.00817707936087949,0.5987506938410113,0.0,22.80752584883224,0.0,Coins
41,15,Randomized SVD,0.01992635726928711,0.004412189144734703,0.5987526789750515,2.740328610780045e-06,22.807517699794012,8.94958961494014e-06,Coins
42,1,Exact SVD,0.06973695755004883,0.00686869744436136,0.8607838400173271,1.1102230246251565e-16,26.92553915119451,0.0,Moon
43,1,Randomized SVD,0.01786322593688965,0.01086955497785343,0.8607838400173555,1.0332830838691124e-14,26.92553915119451,0.0,Moon
44,3,Exact SVD,0.06721892356872558,0.0032581078887991104,0.868574844225407,0.0,29.607109361562646,0.0,Moon
45,3,Randomized SVD,0.025349950790405272,0.015050951962914862,0.8685748442257066,3.549120498428658e-13,29.607109361562646,2.7519201823675253e-15,Moon
46,5,Exact SVD,0.06653509140014649,0.0017117452499188573,0.8816894311492096,0.0,32.131479866255816,0.0,Moon
47,5,Randomized SVD,0.027340078353881837,0.01016624541861685,0.8816894311523091,9.961289126250993e-12,32.131479866255816,6.355287432313019e-15,Moon
48,8,Exact SVD,0.06688866615295411,0.002550397387972964,0.8889771834467901,0.0,33.584219743217,0.0,Moon
49,8,Randomized SVD,0.024726295471191408,0.006720934861910035,0.8889771728519728,1.9759912582573056e-08,33.58421974261726,4.815484972585926e-10,Moon
50,10,Exact SVD,0.06887230873107911,0.00355381183319885,0.8925561869667409,1.1102230246251565e-16,34.269486229086624,0.0,Moon
51,10,Randomized SVD,0.02332615852355957,0.003971812938167731,0.8925561354344111,9.409709015097467e-08,34.26948621334662,1.3816292498817123e-08,Moon
52,13,Exact SVD,0.06704444885253906,0.0021166694591000677,0.9014085029468472,0.0,35.253036791695735,0.0,Moon
53,13,Randomized SVD,0.05778322219848633,0.03748367748282776,0.9014082546969906,2.90772850428042e-07,35.25303676476923,2.1137185864635455e-08,Moon
54,15,Exact SVD,0.12561912536621095,0.10840483899187585,0.9056145462797949,1.1102230246251565e-16,35.79112641486029,0.0,Moon
55,15,Randomized SVD,0.09276771545410156,0.05794191541279569,0.9056136814844675,5.123406620630293e-07,35.79112618985651,1.5392580350675215e-07,Moon
56,1,Exact SVD,0.0934607982635498,0.0008399022617678842,0.5361532190197492,0.0,18.64663480084775,0.0,brick
57,1,Randomized SVD,0.027313947677612305,0.004753721520240309,0.5361532190197434,1.26925248862511e-14,18.64663480084775,0.0,brick
58,3,Exact SVD,0.09291462898254395,0.000625300083330492,0.5423961772978356,0.0,19.74146991448131,0.0,brick
59,3,Randomized SVD,0.016167163848876953,0.009382430198860498,0.5423961301132266,5.527096011344562e-08,19.74146991434587,8.827499731150526e-11,brick
60,5,Exact SVD,0.10274581909179688,0.010350561365484845,0.5655473197714048,0.0,20.697402795034275,0.0,brick
61,5,Randomized SVD,0.022199249267578124,0.01170316638501202,0.5655477279684415,3.426867067986545e-07,20.697402788778206,6.382297152460287e-09,brick
62,8,Exact SVD,0.10050792694091797,0.009429846632975138,0.6313518341909029,0.0,21.87443562059198,0.0,brick
63,8,Randomized SVD,0.02202777862548828,0.013205675093623135,0.6313488453765288,5.655833826016186e-06,21.874435396692867,2.2452961714234587e-07,brick
64,10,Exact SVD,0.09834275245666504,0.01029335858388277,0.6577586303132726,0.0,22.65554719112643,0.0,brick
65,10,Randomized SVD,0.035799264907836914,0.016675131039508392,0.6577580027196531,2.1129682841149755e-06,22.655547006714283,1.8178365239832824e-07,brick
66,13,Exact SVD,0.10075726509094238,0.008842553508549636,0.6908779409803705,0.0,23.808467530778877,0.0,brick
67,13,Randomized SVD,0.031959247589111325,0.012650530053702707,0.6908797497561835,3.750242069503686e-06,23.808467272495022,2.117333034150578e-07,brick
68,15,Exact SVD,0.09772124290466308,0.002477945753961484,0.7112451601430211,0.0,24.52066382815473,0.0,brick
69,15,Randomized SVD,0.034815073013305664,0.01092620233149873,0.7112456469378307,1.6834248475955276e-06,24.520663418687427,2.8002904464064434e-07,brick
70,1,Exact SVD,0.03893513679504394,0.00308292356503218,0.9306868415311405,0.0,24.859979519671228,0.0,Clock
71,1,Randomized SVD,0.012650156021118164,0.005139012445482032,0.9306868415310916,1.7268233475485306e-14,24.859979519671228,0.0,Clock
72,3,Exact SVD,0.04055976867675781,0.00944111462193483,0.97220865528104,1.1102230246251565e-16,36.79117086758497,0.0,Clock
73,3,Randomized SVD,0.013051605224609375,0.0052797888053540435,0.9722086552809814,5.375655861341251e-14,36.79117086758497,0.0,Clock
74,5,Exact SVD,0.04083847999572754,0.00803645897600584,0.9768255812802163,0.0,41.94658203614833,0.0,Clock
75,5,Randomized SVD,0.01556863784790039,0.0042897319017614136,0.9768255812802693,3.0961530589646034e-14,41.94658203614833,0.0,Clock
76,8,Exact SVD,0.04149560928344727,0.012432075045539724,0.9811198550344628,0.0,45.232515434208345,0.0,Clock
77,8,Randomized SVD,0.015592527389526368,0.004668531733338001,0.9811198550344328,2.6991117826844275e-14,45.232515434208345,0.0,Clock
78,10,Exact SVD,0.039484834671020506,0.00808932423346645,0.9830380278468741,1.1102230246251565e-16,46.45764450022526,0.0,Clock
79,10,Randomized SVD,0.016458511352539062,0.006386633270206962,0.9830380278466796,1.2956065809577493e-13,46.45764450022526,0.0,Clock
80,13,Exact SVD,0.03984823226928711,0.009310286338169597,0.9845942210141155,0.0,47.48967841677419,0.0,Clock
81,13,Randomized SVD,0.017210769653320312,0.004422505014422976,0.9845942210084713,3.314373596954798e-11,47.489678416773884,1.7837311770022418e-13,Clock
82,15,Exact SVD,0.03956828117370605,0.008371186677920653,0.9850561794248222,1.1102230246251565e-16,47.89528983492511,0.0,Clock
83,15,Randomized SVD,0.02040519714355469,0.004420007744599555,0.9850561795419062,9.728951476720593e-10,47.895289833289496,1.1606659750461447e-09,Clock
84,1,Exact SVD,0.06885004043579102,0.009865781678942373,0.40538213390340727,0.0,14.126729004310004,0.0,Coffee
85,1,Randomized SVD,0.019872426986694336,0.0034597760851368072,0.40538213390340355,2.4462725774533015e-15,14.126729004310004,0.0,Coffee
86,3,Exact SVD,0.06684269905090331,0.00673421993408539,0.4651765551019761,5.551115123125783e-17,18.051970827638012,0.0,Coffee
87,3,Randomized SVD,0.0246490478515625,0.009569110874704878,0.46517655510018374,3.211426457772072e-12,18.051970827638012,0.0,Coffee
88,5,Exact SVD,0.06667542457580566,0.0061880484988816225,0.48988600411384314,0.0,19.616103422536945,0.0,Coffee
89,5,Randomized SVD,0.021361303329467774,0.00391501513800024,0.4898860044222847,4.949790827935389e-10,19.61610342253694,7.619721951899982e-15,Coffee
90,8,Exact SVD,0.06670198440551758,0.006624767915342481,0.5227624036870124,0.0,21.111975512636295,0.0,Coffee
91,8,Randomized SVD,0.023675012588500976,0.0031134328107130333,0.5227624100309665,9.124153776198494e-09,21.111975512624156,1.1826485549865853e-11,Coffee
92,10,Exact SVD,0.06581449508666992,0.004860589772612662,0.543942470424023,0.0,21.856540330138102,0.0,Coffee
93,10,Randomized SVD,0.024008893966674806,0.0030893623669212824,0.5439424330800458,6.759247639297483e-08,21.85654032998383,1.0111309583634012e-10,Coffee
94,13,Exact SVD,0.06685280799865723,0.006028748461111494,0.5608114062858601,0.0,22.726356149885323,0.0,Coffee
95,13,Randomized SVD,0.024320077896118165,0.0031573959481240406,0.560811564444339,6.917006341186525e-07,22.726356144814524,4.135854617184653e-09,Coffee
96,15,Exact SVD,0.06667513847351074,0.006469347280631513,0.5702419165049284,0.0,23.14762356190255,0.0,Coffee
97,15,Randomized SVD,0.030757761001586913,0.0029515948918318663,0.5702413391357373,2.353717696729923e-06,23.14762291686365,5.316067083733748e-07,Coffee
98,1,Exact SVD,0.022245168685913086,0.0030038308468987294,0.4216611974129781,0.0,17.64150968266701,0.0,Page
99,1,Randomized SVD,0.010338544845581055,0.005991180402444193,0.4216611974129848,1.2827088450468553e-14,17.64150968266701,0.0,Page
